               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.043726,            0.022472,             0.01725,             0.70974,              0.7619,             0.83734,             0.48513,            0.041058,            0.017311,            0.015324,            0.004159,            0.004159,            0.004159
                  61,            0.040031,              0.0202,            0.018207,             0.89342,              0.7619,             0.91528,             0.54827,            0.037534,            0.016811,            0.015086,             0.00406,             0.00406,             0.00406
                  62,            0.047702,             0.01582,            0.018094,             0.52463,              0.7619,             0.70102,             0.28074,            0.050063,             0.01656,            0.014694,            0.003961,            0.003961,            0.003961
                  63,             0.05319,            0.019254,            0.018478,             0.75746,             0.75062,             0.82893,             0.40885,            0.037228,            0.016666,            0.014447,            0.003862,            0.003862,            0.003862
                  64,            0.043002,            0.022302,            0.017252,             0.75746,             0.75062,             0.82893,             0.40885,            0.037228,            0.016666,            0.014447,            0.003763,            0.003763,            0.003763
                  65,            0.041146,            0.018305,            0.018153,             0.85874,             0.75053,             0.85522,             0.48474,            0.037012,            0.016632,            0.014044,            0.003664,            0.003664,            0.003664
                  66,            0.042542,            0.016966,            0.017357,             0.74765,             0.72199,             0.84271,             0.48843,            0.037913,            0.016663,            0.013522,            0.003565,            0.003565,            0.003565
                  67,            0.037645,            0.016139,            0.015248,             0.75876,             0.87934,             0.90183,               0.501,            0.042338,            0.016582,            0.012987,            0.003466,            0.003466,            0.003466
                  68,            0.044656,            0.022344,            0.016225,             0.75876,             0.87934,             0.90183,               0.501,            0.042338,            0.016582,            0.012987,            0.003367,            0.003367,            0.003367
                  69,            0.044369,            0.018841,            0.014092,             0.88265,             0.82338,             0.91829,             0.49078,            0.038014,            0.016438,            0.012677,            0.003268,            0.003268,            0.003268
                  70,             0.04267,            0.020787,            0.014948,             0.72043,             0.61861,              0.8002,             0.38923,            0.043628,            0.016773,            0.012476,            0.003169,            0.003169,            0.003169
                  71,            0.047601,            0.016337,             0.01595,             0.86071,             0.91667,             0.93373,             0.53614,            0.034851,            0.016464,            0.012045,             0.00307,             0.00307,             0.00307
                  72,            0.038333,             0.01515,            0.014966,             0.86071,             0.91667,             0.93373,             0.53614,            0.034851,            0.016464,            0.012045,            0.002971,            0.002971,            0.002971
                  73,            0.034253,            0.016457,            0.013306,             0.78047,             0.91667,             0.92032,             0.55809,             0.03439,            0.016273,            0.011821,            0.002872,            0.002872,            0.002872
                  74,            0.036575,            0.018907,            0.014157,             0.60299,              0.7619,             0.77129,             0.40577,            0.038273,            0.016525,             0.01151,            0.002773,            0.002773,            0.002773
                  75,            0.035836,            0.012346,            0.014696,             0.80499,             0.91096,              0.9085,             0.54583,             0.03677,            0.016273,             0.01123,            0.002674,            0.002674,            0.002674
                  76,            0.038554,            0.018595,            0.012319,             0.80499,             0.91096,              0.9085,             0.54583,             0.03677,            0.016273,             0.01123,            0.002575,            0.002575,            0.002575
                  77,            0.036497,            0.017952,            0.014018,             0.90326,             0.89637,              0.9295,             0.58981,            0.034651,            0.016384,            0.011098,            0.002476,            0.002476,            0.002476
                  78,            0.035381,            0.022387,            0.013178,             0.89828,             0.90363,             0.94317,             0.56837,            0.035148,            0.016258,            0.010853,            0.002377,            0.002377,            0.002377
                  79,            0.034369,              0.0152,            0.012778,             0.83415,             0.85329,             0.92901,             0.57637,            0.039564,            0.016415,            0.010972,            0.002278,            0.002278,            0.002278
